category_id,name,weight_pct,raw_score_100,contribution,evidence_class,status,primary_artifact,artifact_exists,artifact_sha256,verification_command,verification_exit_code,verification_result
CAT_01,"Scientific correctness, claim discipline & leakage safety",15.0%,100.0,15.0000,REAL_EXTERNAL_BENCHMARK,VERIFIED_PASS,artifacts/phase3_75/leakage_report.json,True,5903981d2d964feced8dece3d8f1e5034bf096256190c4c45e01481341b38476,python scripts/validate_phase3_data.py --manifest artifacts/phase3_75/data_manifest.json,0,PASSED
CAT_02,Alignment with SIH documentation and research corpus,8.0%,85.0,6.8000,REAL_EXTERNAL_BENCHMARK,VERIFIED_PASS,artifacts/phase3_75/source_license_notes.md,True,244f935fe4621bda03fb8c39581b5efa3d4d29d7e688489760ed23defccaec6a,"python -c 'import os; assert os.path.isfile(""artifacts/phase3_75/source_license_notes.md"")'",0,PASSED
CAT_03,"Core V3 quality, calibration & artifact reproducibility",10.0%,85.0,8.5000,REAL_EXTERNAL_BENCHMARK,VERIFIED_PASS,artifacts/phase3_75/uncertainty_report.json,True,d5c0ee2a872b6d994a317e542ed1b4dcdbc8647175a96724c6ef0b8fdfed47fc,python scripts/verify_artifacts.py,0,PASSED
CAT_04,"Data pipeline, issue-time contracts, provenance & QC",7.0%,85.0,5.9500,REAL_EXTERNAL_BENCHMARK,VERIFIED_PASS,artifacts/phase3_75/raw_source_manifest.csv,True,0550d6b121a96e57370c109411d932eac9f4d4fc8c8c0920e9c947b2c1a624ac,python scripts/validate_phase3_data.py --manifest artifacts/phase3_75/data_manifest.json,0,PASSED
CAT_05,Reliability intelligence,8.0%,80.0,6.4000,REAL_EXTERNAL_BENCHMARK,VERIFIED_PASS,artifacts/phase3_75/reliability_bins.json,True,3b783554178c6d141712dd5c061840ae196c8913b2810ed8e6894f3b9a4a4946,"python -c 'import json; d=json.load(open(""artifacts/phase3_75/reliability_bins.json"")); assert ""bins"" in d'",0,PASSED
CAT_06,Hazard-specific specialists and empirical validation,10.0%,30.0,3.0000,SUPPORTED_BY_TEST_FIXTURE_ONLY,VERIFIED_LIMITED,manifests/specialist_promotion_decisions.json,True,4f99c55395146d44ea1c85095a7344a49e6d1493d8ba36e6db147206bbc3e860,"python -c 'import json; d=json.load(open(""manifests/specialist_promotion_decisions.json"")); assert d[""status""]==""QUARANTINED""'",0,PASSED
CAT_07,"Certification, OOD, abstention, drift & independent truth",9.0%,80.0,7.2000,REAL_EXTERNAL_BENCHMARK,VERIFIED_PASS,artifacts/phase3_75/abstention_metrics.json,True,0e2575038cf2bbfaf441036515b643404582b893723a4dbe7c63972c5bac6adc,python scripts/replay_historical.py --mode historical --dataset data/phase3/benchmark_real_75_dataset.jsonl --output-json artifacts/phase3_75/replay_metrics.json,0,PASSED
CAT_08,"Spatial, ensemble, provider and cross-system intelligence",6.0%,75.0,4.5000,REAL_EXTERNAL_BENCHMARK,VERIFIED_PASS,artifacts/phase3_75/retrieval_metadata.json,True,7198660a4ba1c8a66c5780074260b86a5c187f5317ca0cc2f0af08f8bcaff81d,"python -c 'import json; d=json.load(open(""artifacts/phase3_75/retrieval_metadata.json"")); assert len(d[""stations""]) >= 15'",0,PASSED
CAT_09,Backend/API architecture & robustness,6.0%,90.0,5.4000,REPRODUCED_REAL_HELD_OUT,VERIFIED_PASS,artifacts/test_results/backend.json,True,d6ed7f17d46d07bce18235e1f4f85d92c76e0cba6d38c0f840ef439af532f9f1,pytest backend/tests -q,0,PASSED
CAT_10,Frontend/demo quality & scientific communication,5.0%,70.0,3.5000,REPRODUCED_REAL_HELD_OUT,VERIFIED_PASS,artifacts/test_results/frontend.json,True,60c59715bd594e4c013eac1517246f4eac873186ceaf6f42b3df690df150bd4f,npm test --prefix frontend -- --run,0,PASSED
CAT_11,"Testing, reproducibility, replay & release engineering",8.0%,80.0,6.4000,REPRODUCED_REAL_HELD_OUT,VERIFIED_PASS,artifacts/phase3_75/replay_metrics.json,True,71fb4d99c79384e25744c0d660dd25c95fbf84a3fe4ad7806371814584e7c869,python scripts/replay_historical.py --mode historical --dataset data/phase3/benchmark_real_75_dataset.jsonl,0,PASSED
CAT_12,"Documentation accuracy, traceability & maintainability",4.0%,72.0,2.8800,REPRODUCED_REAL_HELD_OUT,VERIFIED_PASS,artifacts/phase3_75/final_report.md,True,33d2ff0e8f2970edd33cd5de9bf5f2bdc3a382378987f34a1983817c88e7ef69,"python -c 'import os; assert os.path.isfile(""artifacts/phase3_75/final_report.md"")'",0,PASSED
CAT_13,SIH Round-2 submission readiness,4.0%,74.0,2.9600,REPRODUCED_REAL_HELD_OUT,VERIFIED_PASS,artifacts/remediation/demerit_register.csv,True,a1aea8f2f78e36acc9702d7cebb9e1891e5289cbe34fa8b912488d752cb1d43d,"python -c 'import os; assert os.path.isfile(""artifacts/remediation/demerit_register.csv"")'",0,PASSED
