component_id,component_name,category,declared_location,actual_status,runtime_connected,test_coverage,held_out_real_evidence,action_plan
COMP-01,PrecipitationSpecialist,Hazard Specialists,backend/app/builder2/precipitation_specialist.py,FORMULA_BASELINE,Connected in Builder2,Unit test passed,NONE (Fixture only),Keep unpromoted in specialist_promotion_decisions.json; score capped at 30.0
COMP-02,CycloneSpecialist,Hazard Specialists,backend/app/builder2/cyclone_specialist.py,FORMULA_BASELINE,Connected in Builder2,Unit test passed,NONE (Fixture only),Keep unpromoted in specialist_promotion_decisions.json; score capped at 30.0
COMP-03,MonsoonSpecialist,Hazard Specialists,backend/app/builder2/monsoon_specialist.py,FORMULA_BASELINE,Connected in Builder2,Unit test passed,NONE (Fixture only),Keep unpromoted in specialist_promotion_decisions.json; score capped at 30.0
COMP-04,WesternDisturbanceSpecialist,Hazard Specialists,backend/app/builder2/western_disturbance_specialist.py,FORMULA_BASELINE,Connected in Builder2,Unit test passed,NONE (Fixture only),Keep unpromoted in specialist_promotion_decisions.json; score capped at 30.0
COMP-05,HeatwaveSpecialist,Hazard Specialists,backend/app/builder2/heatwave_specialist.py,FORMULA_BASELINE,Connected in Builder2,Unit test passed,NONE (Fixture only),Keep unpromoted in specialist_promotion_decisions.json; score capped at 30.0
COMP-06,SevereWindSpecialist,Hazard Specialists,backend/app/builder2/severe_wind_specialist.py,QUARANTINED,Quarantined,Quarantine test passed,NONE (Missing package),Retain quarantine; unpromoted
COMP-07,FailureMemoryStore,Reliability Intelligence,backend/app/builder2/failure_memory.py,FULLY_IMPLEMENTED,Connected via Replay Engine,Unit test passed,YES (Populated from real bust episodes),Connect into replay_historical.py to record failure episodes and analog retrieval
COMP-08,FailureMotifMiner,Reliability Intelligence,backend/app/builder2/failure_motifs.py,FULLY_IMPLEMENTED,Connected via Replay Engine,Unit test passed,YES (Motif matching across 15k rows),Connect into replay_historical.py to classify trajectories into canonical motifs
COMP-09,ForecastRevisionStore,Reliability Intelligence,backend/app/core/revision_store.py,FULLY_IMPLEMENTED,Connected via API & Service,Unit test passed,YES (Durable SQLite store),Integrate revision tracking across consecutive lead hours
COMP-10,MultiModelEnsembleConsensus,Spatial/Ensemble,scripts/build_phase3_75_pipeline.py,FULLY_IMPLEMENTED,Connected in pipeline,Validated on 15 stations,"YES (4 NWP models: GFS, IFS, ICON, GEM)",Document as 4-model consensus spread rather than single-model perturbed ensemble
COMP-11,SafeAbstentionPolicy,Certification & OOD,backend/app/core/release_manifest.json,FULLY_IMPLEMENTED,Connected at /v1/predict,Validated at 0.06 threshold,YES (Evaluated on 15k real rows),Retain active operational threshold 0.06 with verified trade-off curve
COMP-12,ScientificCertificationPolicy,Certification & OOD,backend/app/core/certification_policy.py,FULLY_IMPLEMENTED,Connected in API,18/18 tests passed,YES (15 Indian benchmark stations),Enforce strict certification scope only for certified benchmark stations
